Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
JEEP,RENEGADE,'SUV - SMALL',2.4,4.0,A9,X,10.8,7.8,9.5,30.0,222
MITSUBISHI,'OUTLANDER 4WD','SUV - SMALL',2.4,4.0,AV6,X,,8.1,9.1,31.0,209
KIA,'FORTE KOUP',COMPACT,2.0,4.0,M6,X,10.0,7.4,8.8,32.0,206
KIA,RIO,COMPACT,1.6,4.0,M6,X,8.7,6.4,7.7,37.0,177
AUDI,'Q5 HYBRID','SUV - SMALL',2.0,4.0,AS8,Z,9.8,7.9,8.9,32.0,205
MERCEDES-BENZ,'GLA 250 4MATIC','SUV - SMALL',2.0,4.0,AS7,Z,9.8,7.4,8.7,32.0,200
BMW,M3,COMPACT,,6.0,M6,Z,13.5,9.3,11.6,24.0,273
FORD,'Transit Connect Wagon LWB FFV','SPECIAL PURPOSE VEHICLE',2.0,4.0,AS8,E,13.7,11.1,12.5,23.0,208
TOYOTA,Camry,MID-SIZE,2.5,4.0,AS8,X,8.1,5.7,6.9,41.0,164
GMC,'Yukon XL 4WD','SUV - STANDARD',6.2,8.0,A10,Z,17.2,11.4,14.6,19.0,343
PORSCHE,'911 CARRERA 4 GTS',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.2,11.1,25.0,255
CADILLAC,CTS-V,MID-SIZE,6.2,8.0,,Z,16.6,11.1,14.1,20.0,332
PORSCHE,'911 CARRERA 4 CABRIOLET',MINICOMPACT,3.4,6.0,AM7,Z,11.9,8.8,10.5,27.0,246
BMW,M2,SUBCOMPACT,3.0,6.0,M6,Z,13.1,9.2,11.4,25.0,267
GMC,'Sierra 4WD','PICKUP TRUCK - STANDARD',2.7,4.0,A8,X,12.5,10.8,11.7,24.0,275
GMC,Canyon,'PICKUP TRUCK - SMALL',3.6,6.0,A8,X,13.4,9.6,11.7,24.0,273
TOYOTA,'CAMRY HYBRID LE',MID-SIZE,2.5,4.0,AV6,X,4.9,4.8,4.9,58.0,113
JAGUAR,'XJL SUPERCHARGED',FULL-SIZE,5.0,8.0,AS8,E,20.6,13.6,17.5,16.0,280
BMW,M3,COMPACT,3.0,6.0,M6,Z,13.5,9.3,11.6,24.0,273
PORSCHE,'911 Carrera S Cabriolet',MINICOMPACT,3.0,6.0,AM8,Z,12.7,10.2,11.6,24.0,272
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,M6,X,8.3,6.3,7.4,38.0,170
CHEVROLET,'SONIC RS',COMPACT,1.4,4.0,M6,X,8.9,7.0,8.0,35.0,189
,'X1 xDRIVE28i','SUV - SMALL',2.0,4.0,AS8,Z,10.7,7.5,9.3,30.0,217
CADILLAC,'Escalade 4WD','SUV - STANDARD',6.2,8.0,A10,Z,16.6,10.9,14.0,20.0,328
PORSCHE,'Macan S','SUV - SMALL',3.0,6.0,AM7,Z,12.9,10.2,11.7,24.0,272
NISSAN,JUKE,'STATION WAGON - SMALL',1.6,4.0,M6,Z,8.5,6.9,7.8,36.0,183
TOYOTA,'CAMRY HYBRID XLE/SE',MID-SIZE,2.5,4.0,AV,X,5.8,6.2,6.0,47.0,138
ROLLS-ROYCE,'PHANTOM COUPE',COMPACT,6.7,,A8,Z,20.7,12.8,17.1,17.0,393
,'EQUINOX AWD','SUV - SMALL',1.6,4.0,A6,,8.5,6.1,7.4,38.0,198
JAGUAR,'F-TYPE Coupe',TWO-SEATER,3.0,6.0,M6,Z,14.9,9.8,12.6,22.0,296
HYUNDAI,ACCENT,COMPACT,1.6,4.0,M6,X,8.7,6.4,7.7,37.0,177
DODGE,'CHARGER AWD',FULL-SIZE,5.7,8.0,A5,X,16.0,10.1,13.3,21.0,312
DODGE,'CHALLENGER SRT HELLCAT',MID-SIZE,6.2,8.0,M6,,18.1,11.4,15.1,,352
HONDA,HR-V,'STATION WAGON - SMALL',1.8,4.0,M6,X,9.4,7.1,8.4,34.0,195
VOLVO,'V60 CC AWD','SUV - SMALL',2.5,5.0,AS6,X,11.8,8.5,10.3,27.0,237
NISSAN,,'STATION WAGON - SMALL',2.0,4.0,M6,X,10.1,8.1,9.2,31.0,217
,Soul,'STATION WAGON - SMALL',2.0,4.0,AS6,X,9.5,7.8,8.7,32.0,206
'ALFA ROMEO','Giulia Quadrifoglio',MID-SIZE,2.9,6.0,A8,Z,13.5,9.3,11.6,24.0,271
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,AS8,Z,15.5,9.2,,22.0,297
BMW,'M240i COUPE',,3.0,6.0,M6,,12.5,8.4,10.7,26.0,250
MAZDA,'CX-5 4WD','SUV - SMALL',,4.0,AS6,X,9.8,7.9,9.0,31.0,210
MINI,'COOPER ROADSTER',TWO-SEATER,1.6,4.0,AS6,Z,8.6,6.5,7.7,37.0,177
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,AS6,X,14.9,9.5,12.4,23.0,285
PORSCHE,BOXSTER,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,30.0,219
JAGUAR,'XJR LWB',FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.3,13.3,21.0,313
LEXUS,'GS 200t',MID-SIZE,2.0,4.0,AS8,Z,10.6,7.2,9.0,31.0,212
FORD,'Transit Connect Wagon LWB FFV','SPECIAL PURPOSE VEHICLE',2.0,4.0,AS8,E,13.7,11.1,12.5,,208
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6.0,A5,E,18.7,12.4,15.9,18.0,264
SUBARU,'IMPREZA WAGON AWD','STATION WAGON - SMALL',2.0,4.0,,X,9.6,7.1,8.5,33.0,196
PORSCHE,Boxster,TWO-SEATER,2.0,4.0,AM7,Z,10.5,8.0,9.4,30.0,219
MERCEDES-BENZ,'E 400 4MATIC',MID-SIZE,3.0,6.0,A9,Z,11.8,8.7,10.4,27.0,246
VOLKSWAGEN,'GOLF SPORTWAGON TDI (modified)','STATION WAGON - SMALL',2.0,4.0,M6,D,7.6,5.5,,42.0,179
GMC,'YUKON XL FFV','SUV - STANDARD',5.3,8.0,A6,E,19.8,13.9,17.2,16.0,285
MERCEDES-BENZ,'GLC 300 4MATIC',,2.0,4.0,A9,Z,11.0,8.7,10.0,28.0,234
FORD,'EXPEDITION EL 4X4','SUV - STANDARD',3.5,6.0,AS6,X,16.4,12.1,14.4,20.0,338
SUBARU,BRZ,MINICOMPACT,2.0,4.0,AS6,Z,9.6,7.1,8.5,33.0,196
LEXUS,'ES 300h',MID-SIZE,2.5,4.0,AS6,X,5.5,5.2,5.3,53.0,124
DODGE,'Challenger (MDS)',MID-SIZE,5.7,8.0,A8,X,14.7,9.4,12.3,23.0,289
GMC,CANYON,'PICKUP TRUCK - SMALL',2.5,4.0,A6,X,12.0,9.2,10.7,26.0,252
KIA,'Sportage AWD','SUV - SMALL',,4.0,AS6,X,10.8,9.1,10.0,28.0,239
FIAT,'124 Spider',TWO-SEATER,1.4,4.0,A6,X,9.3,6.5,8.0,35.0,187
MERCEDES-BENZ,'AMG CLA 45 4MATIC',COMPACT,2.0,4.0,AM7,Z,10.3,7.9,9.2,31.0,217
MERCEDES-BENZ,'E 350 4MATIC COUPE',SUBCOMPACT,3.5,6.0,AS7,Z,11.9,8.5,10.4,27.0,239
CHEVROLET,'EQUINOX AWD','SUV - SMALL',3.6,6.0,A6,X,14.8,9.9,12.6,22.0,290
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4.0,AS6,X,9.3,7.6,8.5,33.0,201
CHEVROLET,Camaro,SUBCOMPACT,3.6,6.0,AS8,X,12.3,8.2,10.4,27.0,246
GMC,Canyon,'PICKUP TRUCK - SMALL',2.8,4.0,A6,D,11.8,7.9,10.1,28.0,270
LEXUS,'RX 350 AWD','SUV - SMALL',3.5,6.0,AS8,X,12.2,8.9,10.7,26.0,251
KIA,Soul,'STATION WAGON - SMALL',2.0,4.0,M6,X,9.6,7.6,,32.0,206
DODGE,'CHALLENGER SRT (MDS)',MID-SIZE,6.4,8.0,A8,Z,15.6,9.6,12.9,22.0,302
PORSCHE,'CAYENNE TURBO','SUV - STANDARD',4.8,8.0,A8,Z,16.7,11.2,14.2,,334
HYUNDAI,'TUCSON 4WD','SUV - SMALL',2.0,,A6,X,11.4,9.3,10.5,27.0,242
TOYOTA,'Tacoma 4WD','PICKUP TRUCK - SMALL',3.5,6.0,AS6,X,13.0,10.5,,24.0,278
JAGUAR,'F-TYPE SVR AWD Coupe',TWO-SEATER,5.0,8.0,AS8,Z,15.2,9.8,12.7,22.0,299
PORSCHE,'911 TURBO S',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.9,11.4,25.0,266
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34.0,189
DODGE,Challenger,MID-SIZE,3.6,6.0,A8,X,12.4,7.8,10.3,27.0,242
FORD,'Transit Connect Van','SPECIAL PURPOSE VEHICLE',2.0,4.0,AS8,X,9.8,8.8,9.3,30.0,219
PORSCHE,'911 Targa 4 GTS',MINICOMPACT,3.0,6.0,AM7,Z,12.1,9.2,10.8,26.0,251
VOLKSWAGEN,'BEETLE CONVERTIBLE',SUBCOMPACT,2.0,4.0,AS6,X,9.0,7.2,8.2,34.0,191
FORD,'TRANSIT CONNECT WAGON LWB FFV','SPECIAL PURPOSE VEHICLE',2.5,4.0,AS6,E,16.8,12.1,14.7,19.0,242
CHEVROLET,'IMPALA FFV',FULL-SIZE,3.6,6.0,AS6,X,12.7,8.5,10.8,26.0,254
MAZDA,'CX-5 4WD','SUV - SMALL',2.5,4.0,AS6,,9.8,7.9,9.0,31.0,210
MERCEDES-BENZ,,'SUV - STANDARD',3.0,6.0,AS7,D,11.8,8.5,10.3,27.0,278
MERCEDES-BENZ,'B 250 4MATIC',MID-SIZE,2.0,4.0,AS7,Z,10.0,7.5,8.9,32.0,206
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',3.5,6.0,M6,X,13.8,11.4,12.7,22.0,299
CHEVROLET,'Colorado ZR2 4WD','PICKUP TRUCK - SMALL',3.6,6.0,A8,X,15.0,13.0,14.1,20.0,331
FORD,'Shelby GT350 Mustang',SUBCOMPACT,,8.0,M6,Z,17.1,11.4,14.5,19.0,342
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8.0,A6,E,20.2,13.6,,16.0,275
NISSAN,Frontier,'PICKUP TRUCK - SMALL',4.0,6.0,A5,X,14.7,10.3,12.7,22.0,299
SUBARU,WRX,COMPACT,2.5,4.0,M6,Z,13.8,10.2,12.2,23.0,281
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6.0,A5,E,18.7,12.4,15.9,18.0,264
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8.0,A6,X,15.1,10.4,13.0,22.0,305
HONDA,'Odyssey Touring',MINIVAN,3.5,6.0,AS10,X,12.2,8.5,10.6,27.0,247
BMW,'328d xDRIVE',COMPACT,2.0,4.0,AS8,D,7.8,5.9,7.0,40.0,184
GMC,ACADIA,'SUV - STANDARD',3.6,6.0,A6,X,14.3,9.9,12.3,23.0,283
,'V8 VANTAGE',TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18.0,362
BMW,'750Li xDRIVE SEDAN',FULL-SIZE,4.4,8.0,AS8,Z,15.2,9.8,12.8,22.0,294
FORD,'E350 WAGON FFV','VAN - PASSENGER',5.4,8.0,A4,E,26.7,20.5,23.9,12.0,382
BMW,'X4 M40i','SUV - SMALL',3.0,6.0,AS8,Z,12.8,9.5,11.3,25.0,264
PORSCHE,'911 CARRERA 4 GTS',MINICOMPACT,3.8,6.0,AM7,Z,12.6,9.2,11.1,25.0,255
FORD,'ESCAPE AWD','SUV - SMALL',1.5,4.0,AS6,X,10.7,8.3,9.6,29.0,226
BMW,'530i xDrive',MID-SIZE,2.0,4.0,AS8,Z,10.2,7.2,8.8,32.0,207
ACURA,'RLX HYBRID',MID-SIZE,3.5,6.0,AM7,Z,8.4,8.2,8.4,34.0,196
BMW,'440i COUPE',COMPACT,3.0,6.0,M6,Z,12.2,8.2,10.4,27.0,242
ACURA,'RDX AWD','SUV - SMALL',3.5,6.0,AS6,Z,12.4,8.7,10.7,26.0,250
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.5,6.0,A6,X,13.2,9.7,11.6,24.0,272
SUBARU,WRX,COMPACT,2.5,4.0,M6,Z,13.8,10.2,12.2,23.0,281
VOLKSWAGEN,GOLF,COMPACT,1.8,4.0,AS6,X,9.6,7.2,8.5,33.0,199
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',4.3,6.0,A6,X,13.5,,11.9,24.0,280
GMC,Terrain,'SUV - SMALL',1.5,4.0,A9,X,9.2,7.8,8.6,33.0,202
HONDA,'CIVIC SEDAN',MID-SIZE,2.0,4.0,AV,X,7.8,5.8,6.9,41.0,162
GMC,'Sierra WT 4WD','PICKUP TRUCK - STANDARD',2.7,4.0,A8,X,12.7,11.0,12.0,24.0,280
'LAND ROVER','RANGE ROVER EVOQUE CONVERTIBLE','SUV - SMALL',2.0,4.0,AS9,Z,11.2,8.2,9.8,29.0,231
PORSCHE,'CAYENNE PLATINUM','SUV - STANDARD',3.6,6.0,A8,Z,13.6,10.2,12.1,23.0,281
KIA,'SEDONA SX',MINIVAN,3.3,6.0,AS6,X,12.9,9.5,11.4,25.0,269
MERCEDES-BENZ,'AMG SLC 43',TWO-SEATER,3.0,6.0,A9,Z,11.6,8.2,10.1,28.0,236
BMW,M2,SUBCOMPACT,3.0,6.0,M6,Z,13.1,9.2,11.4,25.0,267
CHEVROLET,'MALIBU LIMITED',MID-SIZE,2.5,4.0,AS6,X,10.0,7.0,8.6,33.0,202
AUDI,'S8 QUATTRO',MID-SIZE,4.0,8.0,AS8,Z,15.7,9.4,12.8,22.0,300
INFINITI,'Q60 AWD',SUBCOMPACT,2.0,4.0,AS7,Z,11.2,8.5,10.0,28.0,233
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4.0,A9,X,11.2,8.2,9.8,29.0,230
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8.0,A6,X,17.7,12.7,15.4,18.0,362
HONDA,CR-Z,TWO-SEATER,1.5,4.0,M6,X,7.6,6.1,6.9,41.0,159
BMW,'650i xDRIVE CABRIOLET',SUBCOMPACT,4.4,8.0,AS8,Z,14.3,9.3,,23.0,283
CHEVROLET,'Colorado ZR2 4WD','PICKUP TRUCK - SMALL',3.6,6.0,A8,X,15.0,13.0,14.1,20.0,331
TOYOTA,'CAMRY HYBRID XLE/SE',MID-SIZE,2.5,4.0,AV,X,5.7,6.0,5.9,48.0,137
PORSCHE,'911 Carrera 4 GTS',MINICOMPACT,3.0,6.0,M7,Z,12.8,8.9,11.0,26.0,257
CHEVROLET,CORVETTE,TWO-SEATER,6.2,,M7,Z,14.2,9.0,11.9,24.0,278
FORD,'Fiesta ST',SUBCOMPACT,1.6,4.0,M6,X,9.2,7.4,8.4,34.0,196
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A5,X,13.2,8.7,11.2,25.0,258
HYUNDAI,'Santa Fe XL Ultimate AWD','SUV - SMALL',3.3,6.0,AS6,X,14.1,10.8,12.6,22.0,297
GMC,YUKON,'SUV - STANDARD',5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317
LEXUS,'GS F',COMPACT,5.0,8.0,AS8,Z,14.9,9.7,12.5,23.0,293
CADILLAC,SRX,'SUV - STANDARD',3.6,6.0,AS6,X,14.2,9.8,12.3,23.0,287
SCION,FR-S,MINICOMPACT,2.0,4.0,M6,Z,10.9,7.9,9.6,29.0,224
AUDI,'RS 5 Sportback',MID-SIZE,2.9,6.0,AS8,Z,13.5,9.0,11.5,25.0,268
CHEVROLET,EQUINOX,'SUV - SMALL',2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209
HONDA,PILOT,'SUV - SMALL',3.5,6.0,A6,X,12.4,8.8,,26.0,254
,Camaro,SUBCOMPACT,2.0,4.0,AS8,Z,10.8,7.7,9.4,30.0,220
HONDA,'Civic Hatchback Sport',FULL-SIZE,1.5,4.0,AV7,Z,7.9,6.6,7.3,39.0,170
HYUNDAI,'SANTA FE','SUV - SMALL',3.3,6.0,AS6,X,12.9,9.4,11.3,25.0,265
BUICK,'LACROSSE eASSIST',MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34.0,189
TOYOTA,HIGHLANDER,'SUV - SMALL',3.5,6.0,AS6,X,12.5,9.3,11.1,25.0,260
HYUNDAI,ELANTRA,MID-SIZE,2.0,4.0,M6,X,9.8,7.0,8.5,33.0,198
JAGUAR,'XJ SUPERCHARGED',FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21.0,306
FIAT,500X,'SUV - SMALL',1.4,4.0,M6,X,9.5,7.1,8.4,34.0,197
FORD,'F-150 FFV 4X4 (Payload Pkg)','PICKUP TRUCK - STANDARD',5.0,8.0,AS6,X,16.8,12.4,14.8,19.0,347
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,2.7,6.0,AS6,X,14.0,9.4,12.0,24.0,280
LINCOLN,'Continental AWD',FULL-SIZE,3.7,6.0,AS6,X,14.3,9.7,12.2,23.0,287
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',4.0,6.0,A5,X,14.8,11.6,13.4,21.0,308
DODGE,'CHALLENGER (MDS)',MID-SIZE,5.7,8.0,A8,X,14.7,9.4,12.3,23.0,289
MERCEDES-BENZ,'S 63 AMG 4MATIC',FULL-SIZE,5.5,8.0,AS7,Z,15.6,10.3,13.2,21.0,304
AUDI,'A3 CABRIOLET QUATTRO',SUBCOMPACT,2.0,,AM6,X,10.8,8.0,9.5,30.0,223
MINI,'John Cooper Works Convertible',MINICOMPACT,2.0,4.0,AS6,,9.4,7.2,8.4,34.0,197
MERCEDES-BENZ,'C 300 4MATIC',COMPACT,2.0,4.0,AS7,Z,10.1,7.8,9.0,31.0,212
BMW,,'SUV - STANDARD',4.4,8.0,AS8,Z,15.4,11.2,13.5,21.0,317
VOLKSWAGEN,BEETLE,COMPACT,1.8,4.0,M5,X,9.9,7.2,,32.0,200
,'1500 ECODIESEL HFE','PICKUP TRUCK - STANDARD',3.0,6.0,A8,D,11.3,8.0,9.8,29.0,264
,'Civic Sedan',MID-SIZE,2.0,4.0,AV,X,7.9,6.1,7.1,40.0,167
FORD,'EDGE AWD','SUV - SMALL',2.0,4.0,AS6,X,11.8,8.4,10.3,27.0,240
JEEP,CHEROKEE,'SUV - SMALL',2.4,4.0,A9,X,10.9,7.7,9.5,30.0,218
CADILLAC,ATS-V,COMPACT,3.6,6.0,M6,Z,14.2,10.2,12.4,23.0,289
FORD,'EXPLORER FFV','SUV - STANDARD',3.5,6.0,AS6,X,13.7,9.7,11.9,24.0,274
GMC,Canyon,'PICKUP TRUCK - SMALL',2.5,4.0,M6,X,11.9,9.2,10.7,26.0,251
MAZDA,'CX-5 (Cylinder Deactivation)','SUV - SMALL',2.5,4.0,AS6,X,9.3,7.6,8.5,33.0,201
JEEP,'Cherokee 4X4 Active Drive I','SUV - SMALL',2.0,4.0,A9,X,11.2,8.0,9.8,29.0,229
HONDA,HR-V,'SUV - SMALL',1.8,4.0,M6,X,9.3,7.0,8.3,34.0,193
BMW,'428i COUPE',COMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31.0,211
AUDI,'TT ROADSTER QUATTRO',TWO-SEATER,2.0,4.0,AM6,X,10.1,7.8,9.1,31.0,209
NISSAN,Sentra,MID-SIZE,2.0,4.0,M6,,9.4,6.4,8.0,35.0,188
AUDI,,'STATION WAGON - SMALL',2.0,4.0,AS8,Z,11.8,8.8,10.5,27.0,242
BMW,M2,SUBCOMPACT,3.0,6.0,M6,Z,13.1,9.2,11.4,25.0,267
FORD,'Mustang Convertible',SUBCOMPACT,2.3,4.0,AS10,X,11.9,8.4,10.4,27.0,243
FIAT,'500 ABARTH CABRIO',MINICOMPACT,1.4,4.0,M5,X,8.5,,7.8,36.0,179
CHEVROLET,MALIBU,MID-SIZE,1.5,4.0,A6,X,8.8,6.5,7.8,36.0,181
BMW,'428i COUPE',COMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31.0,211
MINI,'COOPER S CLUBMAN',MID-SIZE,2.0,4.0,AS8,Z,10.0,7.2,8.7,32.0,205
BMW,'X3 xDRIVE35i','SUV - SMALL',3.0,6.0,AS8,Z,12.7,8.8,10.9,26.0,257
CHEVROLET,Tahoe,'SUV - STANDARD',5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314
CADILLAC,'CTS AWD',MID-SIZE,3.6,6.0,AS8,X,13.3,9.2,11.5,25.0,269
HYUNDAI,ELANTRA,MID-SIZE,2.0,,AS6,X,8.3,6.4,7.4,38.0,174
AUDI,,COMPACT,3.0,6.0,AS8,Z,11.8,8.9,10.5,27.0,245
INFINITI,Q70,MID-SIZE,3.7,6.0,AS7,Z,12.8,8.9,11.0,26.0,253
KIA,'Sportage AWD','SUV - SMALL',2.4,4.0,AS6,X,10.8,9.1,10.0,28.0,239
FORD,'Fusion Hybrid',MID-SIZE,2.0,4.0,AV,X,5.5,5.6,5.6,50.0,131
HONDA,'Civic Sedan',MID-SIZE,2.0,4.0,M6,X,9.3,6.5,8.0,35.0,186
MERCEDES-BENZ,'AMG CLA 45 4MATIC',COMPACT,2.0,4.0,AM7,Z,10.3,7.9,9.2,31.0,217
GMC,CANYON,'PICKUP TRUCK - SMALL',2.5,4.0,A6,X,12.0,9.2,10.7,26.0,252
BMW,'M4 COUPE',COMPACT,3.0,6.0,M6,Z,13.7,9.1,11.7,24.0,273
NISSAN,Micra,COMPACT,1.6,4.0,A4,X,9.0,6.8,8.0,35.0,188
TOYOTA,'TACOMA 4WD D-CAB OFF-ROAD','PICKUP TRUCK - SMALL',3.5,6.0,M6,X,13.8,11.7,12.9,22.0,300
AUDI,'TTS Coupe',SUBCOMPACT,2.0,4.0,AM7,Z,10.4,8.2,9.4,30.0,220
BMW,'320i SEDAN',COMPACT,2.0,4.0,AS8,Z,10.0,6.5,8.4,34.0,193
KIA,'FORTE 5',FULL-SIZE,2.0,4.0,M6,X,9.7,6.9,8.4,34.0,197
JEEP,COMPASS,'SUV - SMALL',2.4,4.0,A6,X,11.1,8.3,9.8,29.0,225
VOLKSWAGEN,'BEETLE CONVERTIBLE',SUBCOMPACT,1.8,4.0,AS6,X,9.8,7.3,8.7,32.0,200
KIA,'FORTE KOUP',COMPACT,2.0,4.0,AS6,X,9.6,7.3,8.6,33.0,203
GMC,'SIERRA 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8.0,A6,E,20.5,14.4,17.8,16.0,295
DODGE,'CHALLENGER SRT HELLCAT',,6.2,8.0,M6,Z,18.1,11.4,15.1,19.0,352
NISSAN,'NV200 CARGO VAN',,2.0,4.0,AV,X,9.7,9.0,9.4,30.0,216
HONDA,CIVIC,COMPACT,1.8,4.0,AV,X,7.9,6.1,7.1,40.0,163
KIA,Soul,'STATION WAGON - SMALL',2.0,4.0,M6,X,9.6,7.6,8.7,32.0,206
MINI,'John Cooper Works Countryman ALL4',MID-SIZE,2.0,4.0,AS8,Z,10.0,7.8,9.0,31.0,210
LINCOLN,'MKT LIVERY','SPECIAL PURPOSE VEHICLE',2.0,4.0,AS6,X,11.5,8.5,10.2,28.0,235
FORD,'FLEX AWD','SUV - STANDARD',3.5,6.0,AS6,X,13.7,10.1,12.1,23.0,278
AUDI,'ALLROAD QUATTRO',,2.0,4.0,AS8,Z,11.8,8.8,10.5,27.0,242
HONDA,CIVIC,COMPACT,1.8,4.0,AV,X,7.9,6.1,7.1,40.0,163
SCION,tC,COMPACT,2.5,4.0,M6,X,10.2,7.7,9.0,31.0,210
TOYOTA,'Tacoma 4WD','PICKUP TRUCK - SMALL',3.5,6.0,AS6,,13.0,10.5,11.9,24.0,278
INFINITI,'Q60 AWD',SUBCOMPACT,3.0,6.0,AS7,Z,12.3,8.7,10.7,26.0,251
CHEVROLET,'Camaro SS',SUBCOMPACT,6.2,8.0,M6,,14.9,9.9,12.6,22.0,296
MINI,'COOPER 5 DOOR',SUBCOMPACT,1.5,3.0,M6,Z,8.2,6.0,7.2,39.0,170
PORSCHE,'Macan S','SUV - SMALL',3.0,6.0,AM7,Z,12.9,10.2,11.7,24.0,272
GMC,ACADIA,'SUV - STANDARD',2.5,4.0,A6,X,11.0,9.2,10.2,28.0,239
BUICK,'LaCrosse AWD',MID-SIZE,3.6,6.0,AS9,X,11.7,8.2,10.1,28.0,238
'ALFA ROMEO','GIULIA QUADRIFOGLIO',MID-SIZE,2.9,6.0,A8,Z,13.8,9.6,11.9,24.0,280
MERCEDES-BENZ,'AMG SL 63',TWO-SEATER,5.5,8.0,AS7,Z,14.7,9.5,12.4,23.0,298
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,AS6,X,12.6,8.5,10.7,26.0,253
TOYOTA,,,3.5,6.0,AS6,X,11.4,7.7,9.7,29.0,226
LEXUS,'LS 460',MID-SIZE,4.6,8.0,AS8,Z,14.4,9.6,12.3,23.0,283
CHEVROLET,'Suburban FFV','SUV - STANDARD',5.3,8.0,A6,E,21.2,13.9,17.9,16.0,298
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,M6,X,13.5,8.3,11.2,25.0,258
'LAND ROVER',LR4,'SUV - STANDARD',3.0,6.0,AS8,Z,16.2,12.1,14.3,20.0,336
KIA,SOUL,'STATION WAGON - SMALL',1.6,4.0,AS6,X,9.4,,8.7,32.0,205
KIA,FORTE,MID-SIZE,2.0,4.0,A6,X,9.8,6.6,8.4,34.0,193
FORD,'F-150 FFV 4X4 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',5.0,8.0,AS10,X,15.7,11.8,13.9,20.0,326
BMW,340i,COMPACT,3.0,6.0,AS8,Z,10.9,7.2,9.3,30.0,217
LEXUS,'NX 300h AWD','SUV - SMALL',2.5,4.0,AV6,X,7.2,7.9,7.5,38.0,176
BMW,'Z4 sDRIVE35i',TWO-SEATER,3.0,6.0,AM7,Z,13.7,10.1,12.1,23.0,278
DODGE,'CHALLENGER (MDS)',MID-SIZE,5.7,8.0,A8,X,14.7,9.4,12.3,23.0,289
GMC,CANYON,'PICKUP TRUCK - SMALL',2.5,4.0,A6,X,,9.2,10.7,26.0,252
BMW,'M6 CABRIOLET',SUBCOMPACT,4.4,8.0,M6,Z,16.1,10.9,13.7,21.0,321
FIAT,'500 ABARTH CABRIO',MINICOMPACT,1.4,4.0,M5,X,8.5,6.9,7.8,36.0,179
DODGE,'Challenger (MDS)',MID-SIZE,5.7,8.0,A8,,14.7,9.4,12.3,23.0,289
JEEP,'RENEGADE FFV','SUV - SMALL',2.4,4.0,A9,X,10.8,7.8,9.5,30.0,222
KIA,'SPORTAGE AWD','SUV - SMALL',2.4,4.0,AS6,X,12.0,9.3,10.8,26.0,251
CHEVROLET,TRAVERSE,'SUV - STANDARD',2.0,4.0,A9,Z,11.7,9.0,10.5,27.0,246
BUICK,ENCLAVE,'SUV - STANDARD',3.6,6.0,AS9,X,12.9,9.0,11.2,25.0,263
MINI,'John Cooper Works Countryman ALL4',,2.0,4.0,AS8,Z,10.0,7.8,9.0,31.0,210
PORSCHE,'911 CARRERA 4 CABRIOLET',MINICOMPACT,3.0,6.0,AM7,Z,11.0,8.4,9.8,29.0,230
FORD,'TRANSIT CONNECT TAXI','SPECIAL PURPOSE VEHICLE',1.6,4.0,AS6,X,11.5,8.3,10.1,28.0,232
KIA,Sorento,'SUV - SMALL',2.4,4.0,AS6,X,10.7,8.2,9.6,29.0,225
